Epoch,Train_Loss,Val_AUC
1,0.9570583060622574,0.5096484972536993
2,0.9536942570182905,0.5085707513652785
3,0.9559521784388582,0.5301723175078061
4,0.924090226855061,0.5426117026839146
5,0.9117766907620867,0.5566941914542946
6,0.878819315358526,0.5628971673018506
7,0.8742552651875594,0.5588474438862203
8,0.8803644648489466,0.5769107585088726
9,0.8404196797753655,0.5818857236586836
10,0.8389258294399439,0.6102983039461759
11,0.8015601675201773,0.5850630275219185
12,0.797381065550419,0.6283831671170809
13,0.7591344195720244,0.6328717360323405
14,0.770717441365665,0.6414429290040866
15,0.7529678958460282,0.6312786938504575
16,0.756870687334839,0.6639540453745695
17,0.738205847165142,0.651856108739204
18,0.7103361353393621,0.673993843075052
19,0.7084136604635897,0.6754836791016636
20,0.658668820781809,0.6741996993285168
21,0.6874725478901377,0.697047410041085
22,0.5998999747332314,0.6855341120931747
23,0.6202004788027814,0.6931667888492724
24,0.5855843489181431,0.7018363192134501
25,0.6252516200542806,0.7243447841498275
26,0.617060304109698,0.7053962040360137
27,0.5775161883639148,0.7112604416282503
28,0.6144394528446475,0.728785561459251
29,0.5399416712630468,0.7103214775041818
30,0.5775405265597908,0.7200048127411455
31,0.5501729889473672,0.7382170978891134
32,0.5242215907625993,0.7476942635551054
33,0.4928601798931171,0.7507678959469726
34,0.5089116217694842,0.7571429212875349
35,0.4783259340173277,0.753144244313715
36,0.4797676806258877,0.7576979757948884
37,0.4648979209768474,0.7710687167091171
38,0.46971357476348374,0.7645162908027214
39,0.4874001312919385,0.7719332117255954
40,0.46436767761096814,0.7866707841073748
41,0.4527961050301578,0.7800889646643181
42,0.4239287860711075,0.7918599631571809
43,0.41078086016680593,0.7780823931810849
44,0.4048910510137569,0.8022589849556344
45,0.43141004244938147,0.7835829206084103
46,0.4287566070554539,0.7928750086506139
47,0.3655857095681213,0.8077068187017563
48,0.3455659767036785,0.7962681174230948
49,0.37579308351902596,0.8077731111868872
50,0.3641753686097883,0.8119127930433105
51,0.3912570138793003,0.7938337522976333
52,0.3425243109794754,0.8325041573276325
53,0.35275396916093776,0.8237259493389323
54,0.2955116887648324,0.8319388962770805
55,0.3341674035606339,0.82584677799677
56,0.29832367602631915,0.8457916433955345
57,0.30285975383783564,0.8309327741442561
58,0.31594631115520205,0.8373639973058521
59,0.2820360650598673,0.8533960306349927
60,0.29940385590119906,0.8261013357006335
61,0.2890466677125492,0.826251203284128
62,0.30757507424176483,0.8560573440182295
63,0.30159190016776966,0.8385630430652581
64,0.224565809779118,0.8622471242212459
65,0.25293600301069297,0.8575518481307255
66,0.2656409237535823,0.8615982671865704
67,0.2622328555088228,0.8775774778259067
68,0.25719507534510644,0.8456694557643675
69,0.2239708336562471,0.8507481983886711
70,0.23517771845846216,0.8649331244098913
71,0.2322971627257034,0.8805534025745467
72,0.22432972846869098,0.8708038053487994
73,0.2135143317287413,0.8753930514822067
74,0.22839953957497802,0.8646609596197204
75,0.21509063133815096,0.8821208531053859
76,0.1995377840127945,0.8827158507959838
77,0.23978212460868206,0.8706617681139878
78,0.20385082307929675,0.8666023644043116
79,0.2106128105041802,0.8728150769789047
80,0.19045046446353214,0.8740332495272736
81,0.2017019261307829,0.8709965374694965
82,0.19428095570759113,0.8651311210772598
83,0.17203486522155909,0.8609834061454149
84,0.18173477124183804,0.881747287997583
85,0.1792918309057343,0.8779668302739071
86,0.16601211233313348,0.8971980800425478
87,0.20869715341329026,0.8982952923711115
